id	title	description	availability	availability date	expiration date	link	mobile link	image link	price	sale price	sale price effective date	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	size type	size system	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	min energy efficiency class	item group id	sell on google quantity
AMRIT-DAIRY-005	Amrit Milk Organic A2 Cow Ghee - 1 kg	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Rich golden color and aromatic fragrance. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-1kg		https://amritmilkorganic.com/assets/img/products/amrit_ghee_premium.png	2500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-005-SM	Amrit Milk Organic A2 Cow Ghee - 500ml	Traditional Bilona method A2 Cow Ghee. Pure gold for health. Made using traditional Bilona hand-churning method. 100% A2 beta-casein protein from Desi Gir cows. Compact 500ml size perfect for trying or gifting. Chemical-free | Preservative-free | Grain-fed cows	in stock			https://amritmilkorganic.com/products/a2-cow-ghee-500ml		https://amritmilkorganic.com/assets/img/products/amrit_ghee_premium.png	1350 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-006	Amrit Organic Tulsi Oil - 10 ml	Sacred Tulsi essential oil. Cold-pressed & distilled. Pure steam-distilled Tulsi (Holy Basil) oil. Therapeutic grade essential oil. Potent adaptogenic properties. 100% natural | No synthetic additives	in stock			https://amritmilkorganic.com/products/tulsi-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_oil_tulsi_rollon.png	300 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-007	Amrit Organic Lemongrass Oil - 10 ml	Refreshing Lemongrass essential oil. Cold-pressed & distilled. Pure steam-distilled Lemongrass oil. Fresh, citrusy, uplifting aroma. Therapeutic grade essential oil. 100% natural | No synthetic fragrances	in stock			https://amritmilkorganic.com/products/lemongrass-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_lemongrass_oil_v6.png	400 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-008	Amrit Organic Mint Oil - 10 ml	Cooling Mint essential oil. Cold-pressed & distilled. Pure steam-distilled Peppermint/Mentha oil. Intensely cooling and refreshing. Therapeutic grade essential oil. 100% natural | No synthetic menthol	in stock			https://amritmilkorganic.com/products/menthol-oil-10ml		https://amritmilkorganic.com/assets/img/products/amrit_mint_oil_v6.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-001	Amrit Organic Multiflora Honey - 1 kg	Pure Multiflora honey collected from diverse forest flowers. 100% raw, unprocessed, unpasteurized honey. Collected from diverse forest wildflowers. Rich amber color with complex flavor profile. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/multiflora-honey-1kg		https://amritmilkorganic.com/assets/img/products/amrit_honey_premium_v7.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-HONEY-002	Amrit Organic Jamun Honey - 1 kg	Medicinal honey from Jamun flower nectar. Good for diabetics. 100% raw, unprocessed Jamun (Indian Blackberry) honey. Low glycemic index - Diabetes-friendly. Dark purple-black color with unique tangy flavor. No added sugar | No heating | Single-origin	in stock			https://amritmilkorganic.com/products/jamun-honey-1kg		https://amritmilkorganic.com/assets/img/products/amrit_jamun_honey_v3.png	1200 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-001	Amrit Organic Yellow Mustard Oil - 1 L	Cold-pressed Yellow Mustard oil (Kacchi Ghani). Traditional wood-pressed (Kacchi Ghani) method. 100% pure yellow mustard seeds. Rich, pungent aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/yellow-mustard-oil-1l		https://amritmilkorganic.com/assets/img/products/yellow_mustard_oil.png	380 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-002	Amrit Organic Black Mustard Oil - 1 L	Cold-pressed Black Mustard oil, pungent and pure. Traditional wood-pressed (Kacchi Ghani) method. 100% pure black mustard seeds. Intense pungent flavor with dark amber color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/black-mustard-oil-1l		https://amritmilkorganic.com/assets/img/products/black_mustard_oil.png	350 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-003	Amrit Organic Groundnut Oil - 1 L	Cold-pressed Groundnut oil, rich in flavor. Traditional wood-pressed (Kacchi Ghani) method. 100% pure groundnut (peanut) kernels. Mild, nutty flavor with golden color. High smoke point | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/groundnut-oil-1l-premium		https://amritmilkorganic.com/assets/img/products/amrit_oil_groundnut_1l_v2.png	600 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-004	Amrit Organic Coconut Oil - 1 L	Pure cold-pressed Coconut oil for cooking and care. Traditional wood-pressed (Kacchi Ghani) virgin coconut oil. 100% pure coconut kernel (copra). Natural coconut aroma with pristine white color. No heat treatment | No chemicals | Single-pressed	in stock			https://amritmilkorganic.com/products/coconut-oil-1l-premium		https://amritmilkorganic.com/assets/img/products/coconut_oil.png	1000 INR			no			Amrit Milk				new	no																	
AMRIT-OIL-005	Amrit Organic Sesame (Til) Oil - 1 L	Cold-pressed Sesame (Til) oil. Traditional wood-pressed (Kacchi Ghani) method. 100% pure sesame seeds (white til). Rich, nutty aroma with golden color. No chemicals | No refining | Single-pressed	in stock			https://amritmilkorganic.com/products/sesame-til-oil-1l		https://amritmilkorganic.com/assets/img/products/sesame_oil.png	800 INR			no			Amrit Milk				new	no																	
AMRIT-MISC-001	Amrit Organic Turmeric - 1 kg	High-curcumin Organic Turmeric powder. 100% pure organic turmeric rhizomes. High curcumin content (5-7%). Vibrant golden-yellow color with earthy aroma. No additives | No artificial colors | Stone-ground	in stock			https://amritmilkorganic.com/products/organic-turmeric-1kg		https://amritmilkorganic.com/assets/img/products/premium_turmeric_powder.png	900 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-001	Amrit Milk Organic A2 Gir Cow Milk - 1 L	Pure A2 beta-casein milk from indigenous Desi Gir cows. High nutritional value. 100% pure A2 beta-casein protein. From indigenous Desi Gir cows. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed cows	in stock			https://amritmilkorganic.com/products/a2-gir-cow-milk-1l		https://amritmilkorganic.com/assets/img/products/amrit_milk_gir_1l_v2.png	125 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-002	Amrit Milk Organic A2 Sahiwal Cow Milk - 1 L	Fresh A2 milk from Sahiwal breed cows. 100% pure A2 beta-casein protein. From indigenous Sahiwal breed cows. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed cows	in stock			https://amritmilkorganic.com/products/a2-sahiwal-cow-milk-1l		https://amritmilkorganic.com/assets/img/products/amrit_milk_sahiwal_1l_v2.png	95 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-003	Amrit Milk Organic A2 Buffalo Milk - 1 L	Rich and creamy A2 Buffalo milk. 100% pure A2 beta-casein protein from buffalo. Higher fat content (7-8%) for rich, creamy texture. Farm-fresh daily delivery. No hormones | No antibiotics | Grass-fed buffalo	in stock			https://amritmilkorganic.com/products/a2-buffalo-milk-1l		https://amritmilkorganic.com/assets/img/products/amrit_milk_buffalo_1l_v2.png	110 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-004	Amrit Milk Organic A2 Colostrum Milk - 1 L	Immunity-boosting first milk (Colostrum) from A2 cows. First milk (Colostrum) rich in antibodies. From A2 Desi cows within 24-48 hours post-calving. Thick, creamy, yellowish liquid gold. No hormones | Naturally nutrient-dense	in stock			https://amritmilkorganic.com/products/a2-colostrum-milk-1l		https://amritmilkorganic.com/assets/img/products/amrit_milk_colostrum_1l_v2.png	150 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-006	Amrit Milk Organic Paneer - 1 kg	Freshly made Malai Paneer from A2 milk. Freshly made daily from A2 Desi Gir cow milk. Soft, spongy texture with rich malai (cream). No preservatives | No additives. Hand-crafted using traditional methods	in stock			https://amritmilkorganic.com/products/a2-paneer-1kg		https://amritmilkorganic.com/assets/img/products/a2desicowmilkpaneer.png	500 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-007	Amrit Milk Organic Curd - 1 kg	Thick, probiotic-rich Curd made from A2 milk. Freshly made daily from A2 Desi Gir cow milk. Thick, creamy texture with live probiotic cultures. No preservatives | No additives | Hand-set. Traditional clay-pot setting for authentic taste	in stock			https://amritmilkorganic.com/products/a2-curd-1kg		https://amritmilkorganic.com/assets/img/products/curd_new.png	200 INR			no			Amrit Milk				new	no																	
AMRIT-DAIRY-008	Amrit Milk Organic Khoya - 1 kg	Pure milk solids (Khoya) for traditional sweets. Made from pure A2 Desi Gir cow milk. Slow-cooked to perfection for rich flavor. 100% milk solids | No adulteration. Hand-crafted using traditional methods	in stock			https://amritmilkorganic.com/products/a2-khoya-1kg		https://amritmilkorganic.com/assets/img/products/amrit_khoya_1kg.png	600 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-001	Amrit Organic Whole Wheat Atta - 1 kg	Stone-ground whole wheat flour. Stone-ground (chakki-ground) traditional method. Retains bran, germ, and endosperm for nutrition. Soft, fluffy rotis with authentic taste. No maida | No preservatives | Fresh-ground	in stock			https://amritmilkorganic.com/products/whole-wheat-atta-1kg		https://amritmilkorganic.com/assets/img/products/amrit_atta_wheat_1kg.png	60 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-002	Amrit Organic Multigrain Atta - 1 kg	Nutritious blend of multiple grains. Blend of wheat, oats, ragi, bajra, jowar. High in protein, fiber, and micronutrients. Nutty flavor with soft texture. Ideal for health-conscious families	in stock			https://amritmilkorganic.com/products/multigrain-atta-1kg		https://amritmilkorganic.com/assets/img/products/amrit_atta_multigrain_1kg.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-003	Amrit Organic Corn Flour - 1 kg	Pure yellow corn flour. 100% pure yellow corn kernels. Stone-ground for fine texture. Naturally gluten-free flour. Bright yellow color with sweet aroma	in stock			https://amritmilkorganic.com/products/corn-flour-1kg		https://amritmilkorganic.com/assets/img/products/amrit_atta_corn_1kg.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-004	Amrit Organic Bajra Flour - 1 kg	Traditional pearl millet (Bajra) flour. 100% pure pearl millet (bajra) grains. Traditional winter superfood. Naturally gluten-free and warming. Rajasthani heritage grain	in stock			https://amritmilkorganic.com/products/bajra-flour-1kg		https://amritmilkorganic.com/assets/img/products/amrit_atta_bajra_1kg.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-005	Amrit Organic Besan & Sattu - 1 kg	Pure Gram flour (Besan) and roasted gram flour (Sattu). 100% pure chickpea (chana) flour. Fine texture with nutty aroma. Naturally gluten-free and protein-rich. Versatile for sweet and savory dishes	in stock			https://amritmilkorganic.com/products/besan-sattu-1kg		https://amritmilkorganic.com/assets/img/products/amrit_atta_besan_1kg.png	200 INR			no			Amrit Milk				new	no																	
AMRIT-ATTA-006	Amrit Organic Millet Grains - 1 kg	Assorted ancient millet grains. Mix of foxtail, little, kodo, proso millets. Ancient supergrains revived. Naturally gluten-free and alkaline. Climate-resilient heritage grains	in stock			https://amritmilkorganic.com/products/millet-grains-1kg		https://amritmilkorganic.com/assets/img/products/amrit_grains_millet_1kg.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-001	Amrit Organic Kala Jeera Rice - 1 kg	Aromatic small-grain Kala Jeera rice. Aromatic small-grain black cumin rice. Traditional variety from Terai region. Fluffy texture with nutty flavor. 100% organic | Aged for 1 year	in stock			https://amritmilkorganic.com/products/kala-jeera-rice-1kg		https://amritmilkorganic.com/assets/img/products/kala_jeera_rice.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-002	Amrit Organic Kala Jeera Low-Sugar Rice - 1 kg	Diabetes-friendly low-sugar Kala Jeera rice. Specially processed for low glycemic index. Diabetes-friendly rice variety. Retains nutrients with low sugar release. Doctor-recommended for diabetics	in stock			https://amritmilkorganic.com/products/kala-jeera-low-sugar-1kg		https://amritmilkorganic.com/assets/img/products/kala_jeera_rice.png	120 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-003	Amrit Organic Premium Basmati Rice - 1 kg	Long-grain aged premium Basmati rice. Extra-long grain premium basmati. Aged for 2 years for aroma and texture. Elongates 2x on cooking. Traditional Pusa variety | Export quality	in stock			https://amritmilkorganic.com/products/premium-basmati-rice-1kg		https://amritmilkorganic.com/assets/img/products/basmati_rice.png	185 INR			no			Amrit Milk				new	no																	
AMRIT-RICE-004	Amrit Organic Kala Namak Rice - 1 kg	Buddha's gift - highly aromatic and nutritious Kala Namak rice. Rare heritage rice variety (Buddha's gift). Intensely aromatic like pandan leaves. Short, bold grains with black husk tip. Premium artisanal rice | Limited harvest	in stock			https://amritmilkorganic.com/products/kala-namak-rice-1kg		https://amritmilkorganic.com/assets/img/products/amrit_rice_kala_namak_1kg.png	350 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-001	Amrit Organic Rasgulla - 1 Jar	Soft and spongy Rasgullas made from A2 milk paneer. Made from pure A2 Desi Gir cow milk paneer. Soft, spongy, melt-in-mouth texture. Soaked in light sugar syrup. Traditional Bengali delicacy | Handcrafted	in stock			https://amritmilkorganic.com/products/rasgulla-jar		https://amritmilkorganic.com/assets/img/products/premium_rasgulla.png	450 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-002	Amrit Organic Jaggery Bites (Desi Chocolate Style) - 500g	Healthy jaggery bites, a natural substitute for chocolates. Healthy alternative to commercial chocolates. Bite-sized jaggery cubes. No added sugar or chemicals. Kids love these natural treats	in stock			https://amritmilkorganic.com/products/jaggery-bites-500g		https://amritmilkorganic.com/assets/img/products/premium_jaggery_bites.png	110 INR			no			Amrit Milk				new	no																	
AMRIT-SWEET-003	Amrit Organic Jaggery - 1 kg	Pure chemical-free Organic Jaggery. 100% pure sugarcane jaggery (gur). Traditional open-pan boiling method. No chemicals | No preservatives. Rich golden-brown color with earthy aroma	in stock			https://amritmilkorganic.com/products/jaggery-1kg-pure		https://amritmilkorganic.com/assets/img/products/premium_jaggery_bites.png	150 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-001	Amrit Organic Lip Balm (Moisturizer)	Natural moisturizing Lip Balm. 100% natural and chemical-free formula. Deeply moisturizes and heals chapped lips. Long-lasting protection. Compact stick for on-the-go use	in stock			https://amritmilkorganic.com/products/lip-balm-moisturizer		https://amritmilkorganic.com/assets/img/products/amrit_lip_balm.png	300 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-002	Amrit Organic Bees Wax (Moisturizer)	Pure Bees Wax for skin hydration. 100% pure, raw beeswax from organic hives. Multi-purpose beauty and skincare ingredient. Natural golden color with honey aroma. Chemical-free | Unrefined | Handcrafted	in stock			https://amritmilkorganic.com/products/bees-wax-moisturizer		https://amritmilkorganic.com/assets/img/products/amrit_bees_wax.png	500 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-003	Amrit Organic Bull Balm Roll-On (10ml)	Ancient formula for pain relief in a handy roll-on. Powerful blend of natural oils. Smooth roll-on application. Instant cooling + warming relief. Travel-friendly | Non-sticky | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-rollon		https://amritmilkorganic.com/assets/img/products/amrit_bull_balm_rollon.png	225 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-004	Amrit Organic Bull Balm Spray (10ml)	Targeted pain relief spray. Powerful blend of natural oils. Convenient spray application. Instant cooling + warming relief. Travel-friendly | Quick-dry | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-spray		https://amritmilkorganic.com/assets/img/products/premium_bull_balm_v3.png	250 INR			no			Amrit Milk				new	no																	
AMRIT-WELL-005	Amrit Organic Bull Balm Dropper (10ml)	Concentrated formula for deep tissue relief. Powerful blend of natural oils. Precise dropper application. Concentrated formula for deep relief. Travel-friendly | Controlled dosing | Farm-crafted	in stock			https://amritmilkorganic.com/products/bull-balm-dropper		https://amritmilkorganic.com/assets/img/products/premium_bull_balm_v3.png	290 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-001	Amrit Organic Cow Manure - 1 kg	Organic manure from Desi Gir cows for your garden. 100% organic from grass-fed Desi Gir cows. Naturally composted and aged. Rich in NPK and beneficial microbes. Eco-friendly | Chemical-free fertilizer	in stock			https://amritmilkorganic.com/products/cow-manure-1kg		https://amritmilkorganic.com/assets/img/products/cow_manure.png	30 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-002	Amrit Organic Upla (Cow Dung Cakes) - 2 pcs	Traditionally dried Cow Dung cakes for rituals and fuel. Hand-crafted from Desi Gir cow dung. Sun-dried naturally for weeks. Traditional fuel and ritual use. Sacred in Vedic traditions | Eco-friendly	in stock			https://amritmilkorganic.com/products/cow-dung-cakes-2pcs		https://amritmilkorganic.com/assets/img/products/amrit_cow_dung_upla.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-GAU-003	Amrit Organic Gaumutra - 1 L	Distilled Gaumutra for spiritual and medicinal use. From Desi Gir cows (grass-fed, hormone-free). Filtered and distilled for purity. Traditional Ayurvedic ingredient. Spiritual purification use	in stock			https://amritmilkorganic.com/products/gaumutra-1l		https://amritmilkorganic.com/assets/img/products/premium_cow_based_products.png	100 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-001	Wellness Trio Pack	1kg A2 Ghee + 1kg Multiflora Honey + 10ml Tulsi Oil. The ultimate Ayurvedic wellness bundle. Complete Ayurvedic wellness trio. Save ₹400 compared to individual prices. Premium A2 Bilona Ghee + Raw Forest Honey + Pure Tulsi Oil. Perfect for health-conscious families	in stock			https://amritmilkorganic.com/products/wellness-trio-pack		https://amritmilkorganic.com/assets/img/products/combo_wellness_trio_v6.png	3500 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-002	Immunity Booster Pack	1kg Multiflora Honey + 10ml Tulsi Oil + 10ml Mint Oil. Natural immunity power combo. Powerful immunity-boosting trio. Save ₹300 compared to individual prices. Raw Honey + Tulsi + Mint essential oils. Fight cold, cough & respiratory issues naturally	in stock			https://amritmilkorganic.com/products/immunity-booster-pack		https://amritmilkorganic.com/assets/img/products/combo_immunity_booster_v5.png	2600 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-003	Aromatherapy Essentials	10ml Tulsi Oil + 10ml Lemongrass Oil + 10ml Mint Oil. Complete aromatherapy set for wellness. Complete essential oils set. Save ₹100 compared to individual prices. Perfect for diffusers & massage therapy. 100% pure steam-distilled oils	in stock			https://amritmilkorganic.com/products/aromatherapy-essentials		https://amritmilkorganic.com/assets/img/products/combo_aromatherapy_v6.png	850 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-004	Golden Healing Duo	1kg A2 Ghee + 1kg Jamun Honey. The golden Ayurvedic healing pair for digestion & immunity. Traditional Ayurvedic healing duo. Save ₹300 compared to individual prices. Pure Bilona Ghee + Diabetic-friendly Jamun Honey. Perfect for golden milk (Haldi Doodh)	in stock			https://amritmilkorganic.com/products/golden-healing-duo		https://amritmilkorganic.com/assets/img/products/combo_golden_healing_v5.png	3600 INR			no			Amrit Milk				new	no																	
AMRIT-COMBO-005	Complete Care Pack	1kg A2 Ghee + 1kg Honey + 10ml Tulsi + 10ml Lemongrass + 10ml Mint Oil. Ultimate wellness bundle. Everything you need for complete wellness. Save ₹450 compared to individual prices. 5 premium products in one bundle. Perfect gift for health-conscious loved ones	in stock			https://amritmilkorganic.com/products/complete-care-pack		https://amritmilkorganic.com/assets/img/products/combo_complete_care_v5.png	4200 INR			no			Amrit Milk				new	no																	